code_jquants_5digit,name_pdf,account,shares,avg_cost_yen,code,Name,in_holdings,is_financial,core_pass,core_fin_pass,core_candidate,core_buyable_now,satellite_pass,satellite_buyable_now,drop_reason_core,drop_reason_satellite,info_flags,yield_basis,dividend_yield_total_actual,dividend_yield_total_fwd,effective_yield,dividend_yield_fwd_total,dividend_yield_fwd,total_div_fwd,total_div_actual,dps_fwd,net_shares_latest,high_yield_risk,non_cut_years_verified,coverage_years,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,value_pass,eps_fwd,data_quality_flags,needs_manual_dividend_check,manual_check_reason,rs_percentile,trend_score,tt_all_pass,composite_score,drop_reason
69320,遠藤照明,特定,400,2109.95,69320,遠藤照明,True,False,False,False,False,False,False,False,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,yield_below_2pct,,dps_fallback,0.016737746523702725,0.01675603217158177,0.01675603217158177,0.0167377465237027,0.0167560321715817,738806250.0,738000000.0,50.0,14776125.0,False,4.0,10,1.0,0.5,0.1833609271523179,True,324.85,,False,,82.71285205568145,6,True,52.356426027840726,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; yield_below_2pct
74530,良品計画,特定,100,2003.0,74530,良品計画,True,False,False,False,False,False,False,False,A_non_cut_years; E_div_yield; F_value_pass,TT_not_all_pass; yield_below_2pct,info_tt_not_all_pass,dps_fallback,0.007274692493343856,0.013900472616068946,0.013900472616068946,0.0072746924933438,0.0139004726160689,26523796100.0,13881000000.0,50.0,530475922.0,False,0.0,10,1.0,1.0,0.3940006953883112,False,95.92,div_split_adjusted; yield_split_mismatch,True,yield_split_mismatch,59.56620265458077,4,False,29.783101327290385,A_non_cut_years; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct
78670,タカラトミー,特定,200,4317.0,78670,タカラトミー,True,False,False,False,False,False,False,False,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_below_2pct,info_tt_not_all_pass,none,,,,0.0194850382741823,0.0194850382741823,,,56.0,,False,2.0,10,1.0,1.0,0.6469662921348315,False,161.43,shares_missing; div_split_adjusted; yield_total_fallback_dps,True,yield_total_fallback_dps,7.154418905794755,1,False,13.577209452897378,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; TT_not_all_pass; yield_below_2pct
80980,稲畑産業,特定,200,3920.0,80980,稲畑産業,True,False,False,False,False,False,False,False,A_non_cut_years; E_div_yield,TT_not_all_pass,info_tt_not_all_pass,dps_fallback,0.028833676274885624,0.02870264064293915,0.02870264064293915,0.0288336762748856,0.0287026406429391,6797965375.0,6829000000.0,125.0,54383723.0,False,2.0,10,1.0,1.0,0.3541066848139035,True,363.9,,False,,66.49401100679832,5,False,46.24700550339916,A_non_cut_years; E_div_yield; TT_not_all_pass
83160,三井住友フィナンシャルＧ,特定,100,2998.0,83160,三井住友フィナンシャルグループ,True,True,False,False,False,False,False,False,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; F_value_pass; fin:A_non_cut_years; fin:E_div_yield; fin:F_value_pass,yield_unknown,,actual,0.02044931907307018,,0.02044931907307018,0.0204493190730701,,,475061000000.0,,3873793610.0,False,0.0,10,1.0,0.6666666666666666,1.6510118042780249,False,301.55,div_split_adjusted,False,,82.03302039494982,6,True,50.01651019747491,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; F_value_pass; fin:A_non_cut_years; fin:E_div_yield; fin:F_value_pass; yield_unknown
85910,オリックス,特定,300,3489.33,85910,オリックス,True,True,False,False,False,False,True,True,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; F_value_pass; fin:A_non_cut_years; fin:E_div_yield; fin:F_value_pass; data_missing:fcf_payout,OK,,dps_fallback,0.021702698009624568,0.021650730651271877,0.021650730651271877,0.0217026980096245,0.0216507306512718,136775702905.49,137104000000.0,120.01,1139702549.0,False,2.0,10,1.0,0.0,,False,307.74,div_split_adjusted,False,,84.65522822920039,6,True,64.3276141146002,OK
85930,三菱ＨＣキャピタル,特定,500,985.02,85930,三菱ＨＣキャピタル,True,True,False,False,False,False,False,False,fin_sector_excluded_from_core; E_div_yield; fin:E_div_yield,TT_not_all_pass,info_tt_not_all_pass,dps_fallback,0.026462665273415155,0.026420079260237782,0.026420079260237782,0.0264626652734151,0.0264200792602377,57422441880.0,57515000000.0,40.0,1435561047.0,False,5.0,10,0.0,0.5,1.1749108355978262,True,94.19,div_split_adjusted,False,,69.43994820330204,5,False,46.21997410165102,fin_sector_excluded_from_core; E_div_yield; fin:E_div_yield; TT_not_all_pass
87070,岩井コスモホールディング,特定,200,2099.0,87070,岩井コスモホールディングス,True,True,False,False,False,False,False,False,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; F_value_pass; fin:A_non_cut_years; fin:E_div_yield; fin:F_value_pass; fin:G_eps_unknown; data_missing:yield; data_missing:cfo_pos_ratio; data_missing:fcf_pos_ratio; data_missing:fcf_payout,yield_unknown,,none,,,,,,,,,,False,3.0,10,,,,False,,shares_missing,False,,84.33149886694723,6,True,43.665749433473614,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; F_value_pass; fin:A_non_cut_years; fin:E_div_yield; fin:F_value_pass; fin:G_eps_unknown; data_missing:yield; data_missing:cfo_pos_ratio; data_missing:fcf_pos_ratio; data_missing:fcf_payout; yield_unknown
87250,ＭＳ＆ＡＤ,特定,300,2726.5,87250,ＭＳ＆ＡＤインシュアランスグループホールディングス,True,True,False,False,False,False,False,False,A_non_cut_years; fin_sector_excluded_from_core; fin:A_non_cut_years,TT_not_all_pass,info_tt_not_all_pass,dps_fallback,0.033467541597392375,0.03313528336380256,0.03313528336380256,0.0334675415973923,0.0331352833638025,219133675560.0,221331000000.0,145.0,1511266728.0,False,1.0,10,1.0,1.0,0.9748064709278704,True,445.52,div_split_adjusted,False,,65.49044998381353,5,False,39.24522499190677,A_non_cut_years; fin_sector_excluded_from_core; fin:A_non_cut_years; TT_not_all_pass
87660,東京海上ＨＤ,特定,100,6295.0,87660,東京海上ホールディングス,True,True,False,False,False,False,False,False,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield,TT_not_all_pass,info_tt_not_all_pass,dps_fallback,0.02655173804179586,0.026352075992033094,0.026352075992033094,0.0265517380417958,0.026352075992033,330730153388.0,333236000000.0,172.0,1922849729.0,False,2.0,10,1.0,1.0,0.2948930904892906,True,542.16,div_split_adjusted,False,,43.73583684040143,4,False,25.86791842020072,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield; TT_not_all_pass
90080,京王電鉄,特定,100,3616.0,90080,京王電鉄,True,False,False,False,False,False,False,False,A_non_cut_years; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:yield,TT_not_all_pass,info_tt_not_all_pass,none,,,,0.0238265427686442,0.0238265427686442,,,100.0,,False,4.0,10,1.0,0.6666666666666666,1.5120229202905966,True,335.77,shares_missing; div_split_adjusted; yield_total_fallback_dps,True,yield_total_fallback_dps,37.455487212690194,5,False,29.727743606345097,A_non_cut_years; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:yield; TT_not_all_pass
